name	id	parent	geo	iso23	iso3
Swedish	swed1254	east2781	59.800634,17.389526	sv	swe
Northeast Coastal Bantu	nort3209	nort3203			
Coastal NEC Bantu	coas1317	nort3209			
Sabaki-Swahili	saba1282	coas1317			
Swahili {G.40}	swah1254	saba1282		sw	swa
Tamiloid	tami1299	tami1298			
Tamil	tami1289	tami1299	10.520219,78.825989	ta	tam
South Dravidian II	sout3139	sout3133			
Teluguic	telu1265	sout3139			
Telugu	telu1262	telu1265	16.4529,78.7024	te	tel
Central Malayo-Polynesian	cent2245	cent2237			
Timoric A	timo1259	cent2245			
Central Timoric A	cent2079	timo1259			
Tetunic	tetu1244	cent2079			
Tetum	tetu1245	tetu1244	-9.11217,125.528	tet	tet
Farsic	fars1255	fars1254			
Eastern Farsic	east2745	fars1255			
Tajikic	taji1250	east2745			
Tajik	taji1245	taji1250	38.8213,68.5549	tg	tgk
Thai	thai1261	laot1235	14.192,100.671	th	tha
Tigre-Tigrinya	tigr1276	ethi1244			
Tigrinya	tigr1271	tigr1276	15.3359,38.9266	ti	tir
East Oghuz	east2334	oghu1243			
Turkmen	turk1304	east2334	37.0872,59.1757	tk	tuk
Tokelau	toke1240	samo1310	-9.227642,-171.780833	tkl	tkl
Tswanaic	tswa1256	soth1248			
Tswana	tswa1253	tswa1256	-24.368,24.7587	tn	tsn
Bedik-Bapen	bedi1237	bass1263			
Bedik	bedi1235	bedi1237	12.7531,-12.4796	tnr	tnr
Tonga {Tonga Islands}	tong1325	tong1324	-21.17,-175.25	to	ton
Tok Pisin	tokp1240	earl1243	-9.41971,147.303	tpi	tpi
Nuclear West Oghuz	nucl1762	west2406			
Turkish	nucl1301	nucl1762	39.8667,32.8667	tr	tur
Tswa-Ronga {S.50}	tswa1254	ngun1275			
Tsonga	tson1249	tswa1254	-23.5754,31.8105	ts	tso
South Bisayan	sout3175	bisa1268			
Butuan-Tausug	butu1243	sout3175			
Tausug	taus1251	butu1243	5.12236,118.88	tsg	tsg
Tatar	tata1255	nort2696	55,50	tt	tat
Tuvalu	tuva1244	elli1239	-8.520813,179.198088	tvl	tvl
Tahitian-Austral	tahi1244	cent2062			
Tahitian	tahi1242	tahi1244	-17.6485,-149.45	ty	tah
South Siberian Turkic	sout2693	comm1245			
Sayan	saya1244	sout2693			
Tuvinian	tuvi1240	saya1244	48.436,92.6693	tyv	tyv
Berber	berb1260	afro1255			
Kabyle-Atlas Berber	kaby1244	berb1260			
Atlas Berber	atla1275	kaby1244			
Central Moroccan Berber	cent2194	atla1275	32.7415,-2.40872	tzm	tzm
Udmurt	udmu1245	perm1256	56.12921,52.63548	udm	udm
Uyghur	uygh1240	oghu1246			
Uighur	uigh1240	uygh1240	43.67,79.75	ug	uig
Ukrainian-Rusyn	ukra1257	east1426			
Ukrainian	ukra1253	ukra1257	48.175842,24.395786	uk	ukr
Urdu	urdu1245	hind1270	25,67	ur	urd
Uzbek	uzbe1247	oghu1243		uz	uzb
Venda	vend1245	soth1250	-22.188,29.9523	ve	ven
